Age,Country,EdLevel,MainBranch,Employment,ConvertedCompYearly
35-44 years old,Pakistan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",83439.0
45-54 years old,Costa Rica,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",225000.0
18-24 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Student, part-time;Employed, part-time",18259.0
35-44 years old,Lithuania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",70888.0
35-44 years old,Indonesia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Not employed, but looking for work;Independent contractor, freelancer, or self-employed",
35-44 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",
18-24 years old,Canada,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Student, full-time",
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",49050.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",59073.0
25-34 years old,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
25-34 years old,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",68322.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Greece,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time;Student, full-time",53703.0
18-24 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Student, full-time",
25-34 years old,Brazil,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",6937.0
35-44 years old,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",3326.0
45-54 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",350000.0
35-44 years old,Belarus,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",55835.0
25-34 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",27973.0
35-44 years old,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",32222.0
35-44 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",128666.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Employed, part-time",127813.0
25-34 years old,Colombia,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",6510.0
18-24 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",75000.0
45-54 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",158000.0
45-54 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, part-time",180000.0
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",164000.0
25-34 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",179000.0
25-34 years old,Ireland,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",171850.0
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",172000.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",75000.0
25-34 years old,Canada,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",90866.0
18-24 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",47259.0
18-24 years old,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",12952.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",114649.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Employed, part-time",
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",100000.0
18-24 years old,Egypt,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",533.0
18-24 years old,Brazil,Some college/university study without earning a degree,I am a developer by profession,"Student, full-time;Employed, part-time",559.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",330000.0
25-34 years old,Poland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",84138.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",140000.0
35-44 years old,Lithuania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",69814.0
25-34 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",42000.0
35-44 years old,Switzerland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",111417.0
18-24 years old,Singapore,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",81307.0
25-34 years old,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",56000.0
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",57325.0
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",63694.0
25-34 years old,United States of America,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time",180000.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",180000.0
25-34 years old,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",2551.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",115000.0
25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",123732.0
35-44 years old,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",128887.0
25-34 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",128887.0
25-34 years old,Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",43481.0
35-44 years old,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",133538.0
55-64 years old,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
35-44 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",21534.0
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Student, part-time;Employed, part-time",43435.0
35-44 years old,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",6800.0
18-24 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",68000.0
45-54 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,South Korea,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",60202.0
25-34 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",67666.0
25-34 years old,Denmark,Something else,I am a developer by profession,"Employed, full-time",54721.0
45-54 years old,Norway,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",93591.0
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Guatemala,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",75800.0
25-34 years old,Sri Lanka,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Employed, part-time",3951.0
35-44 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I used to be a developer by profession, but no longer am","Employed, full-time",
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",162000.0
25-34 years old,United Arab Emirates,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",16336.0
25-34 years old,Slovakia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",38666.0
25-34 years old,Uruguay,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",40000.0
25-34 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",180000.0
45-54 years old,Canada,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",72693.0
25-34 years old,Guatemala,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Student, part-time",18000.0
25-34 years old,Serbia,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
45-54 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
18-24 years old,Guatemala,Some college/university study without earning a degree,I am a developer by profession,"Student, full-time;Employed, part-time",8021.0
25-34 years old,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",124800.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",78980.0
45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",114649.0
45-54 years old,Italy,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
45-54 years old,Guatemala,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",38561.0
18-24 years old,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, full-time;Employed, part-time",
25-34 years old,South Korea,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",31189.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",122500.0
25-34 years old,Indonesia,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",110000.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",135000.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",275000.0
35-44 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",110000.0
18-24 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",24746.0
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",165000.0
18-24 years old,Ukraine,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",6369.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",216000.0
25-34 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",118147.0
45-54 years old,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",86401.0
25-34 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",103935.0
25-34 years old,Canada,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Student, part-time",36346.0
45-54 years old,Serbia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",6881.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",89172.0
35-44 years old,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",65000.0
35-44 years old,Slovenia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",88073.0
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",400000.0
25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",
35-44 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",109039.0
25-34 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
25-34 years old,South Korea,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Employed, full-time",72532.0
25-34 years old,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",17663.0
25-34 years old,Portugal,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",33833.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",115000.0
25-34 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",120000.0
45-54 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",126486.0
25-34 years old,Spain,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",128887.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",210000.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",140000.0
35-44 years old,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",107406.0
18-24 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",19142.0
35-44 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",125000.0
Under 18 years old,India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed;Student, part-time",
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",125000.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",145600.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",96666.0
35-44 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",99888.0
35-44 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed;Not employed, and not looking for work;Retired",
35-44 years old,Canada,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Independent contractor, freelancer, or self-employed",90866.0
55-64 years old,South Africa,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
55-64 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",180000.0
25-34 years old,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",90248.0
18-24 years old,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",10888.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Student, part-time;Employed, part-time",20000.0
25-34 years old,United States of America,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",52000.0
35-44 years old,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",107406.0
45-54 years old,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",49368.0
35-44 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Independent contractor, freelancer, or self-employed",240000.0
25-34 years old,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",116988.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",75420.0
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",150000.0
35-44 years old,United States of America,Some college/university study without earning a degree,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time;Independent contractor, freelancer, or self-employed",180000.0
25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
25-34 years old,Thailand,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",15776.0
55-64 years old,Hungary,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",51633.0
35-44 years old,Germany,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",52629.0
25-34 years old,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",51968.0
25-34 years old,Czech Republic,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",52122.0
25-34 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",1678.0
25-34 years old,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",1855.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",1316.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",192000.0
35-44 years old,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",77484.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",101000.0
18-24 years old,Brazil,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time;Student, full-time;Independent contractor, freelancer, or self-employed",38267.0
45-54 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
45-54 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",327118.0
25-34 years old,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",12143.0
18-24 years old,Brazil,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",9324.0
25-34 years old,Kyrgyzstan,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",110000.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",
35-44 years old,United States of America,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",106000.0
35-44 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",94501.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",100000.0
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",151000.0
18-24 years old,United States of America,Primary/elementary school,I am a developer by profession,"Not employed, but looking for work;Independent contractor, freelancer, or self-employed",
25-34 years old,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",69814.0
25-34 years old,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",
25-34 years old,Sri Lanka,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",7901.0
25-34 years old,Brazil,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",
18-24 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",
18-24 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",
25-34 years old,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",130847.0
18-24 years old,Russian Federation,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed;Student, part-time",
25-34 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time",80000.0
55-64 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",140000.0
45-54 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",150000.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",172550.0
45-54 years old,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",33568.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, part-time",20000.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",225000.0
35-44 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",155000.0
35-44 years old,Brazil,"Associate degree (A.A., A.S., etc.)",I am a developer by profession,"Employed, full-time;Student, part-time",3730.0
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",212738.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",215000.0
35-44 years old,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",200000.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",75000.0
45-54 years old,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Independent contractor, freelancer, or self-employed",
25-34 years old,United States of America,Some college/university study without earning a degree,I am a developer by profession,"Employed, full-time",82000.0
25-34 years old,Switzerland,Something else,I am a developer by profession,"Independent contractor, freelancer, or self-employed",111417.0
25-34 years old,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",69814.0
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",220000.0
25-34 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",I am a developer by profession,"Employed, full-time",91295.0
25-34 years old,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",I am a developer by profession,"Employed, full-time",85925.0
